epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
68,173553,1.03051,1.59717,0.74098,0.00863,0.38997,0.94963,0.87903,0.93913,0.71608,0.9483,0.87781,0.93457,0.71455,0.98221,1.55845,0.56401,0.00972,0,0.00043367,0.00043367,0.00043367
69,175695,0.98874,1.52724,0.6937,0.00801,0.3584,0.93995,0.86135,0.92463,0.70764,0.94571,0.85767,0.92584,0.69813,1.0044,1.58175,0.65545,0.01006,0,0.00043268,0.00043268,0.00043268
70,177841,1.01163,1.54989,0.71743,0.00831,0.35195,0.952,0.87239,0.94054,0.72145,0.9467,0.87173,0.93715,0.70482,0.96534,1.57703,0.57648,0.00938,0,0.00043169,0.00043169,0.00043169
71,179995,1.03285,1.58551,0.70991,0.00859,0.35527,0.95938,0.86994,0.93769,0.70494,0.95341,0.86503,0.9268,0.69308,1.0452,1.65196,0.57197,0.01037,0,0.0004307,0.0004307,0.0004307
72,182146,1.0281,1.5633,0.70448,0.00854,0.34256,0.93325,0.82343,0.90094,0.69973,0.91511,0.82945,0.89917,0.68221,1.00371,1.66753,0.7661,0.01012,0,0.00042971,0.00042971,0.00042971
73,184295,0.99889,1.54757,0.70118,0.00849,0.37518,0.97838,0.85031,0.92223,0.7126,0.97696,0.84908,0.92241,0.70379,0.97758,1.5705,0.62505,0.0097,0,0.00042872,0.00042872,0.00042872
74,186452,0.96445,1.5038,0.68184,0.00828,0.31729,0.95175,0.87134,0.9434,0.72027,0.95656,0.86458,0.93381,0.70391,0.99832,1.62171,0.55963,0.00975,0,0.00042773,0.00042773,0.00042773
75,188608,0.97302,1.51559,0.68063,0.00807,0.35203,0.95264,0.85153,0.929,0.71799,0.95264,0.85153,0.92687,0.70566,0.99553,1.58468,0.62395,0.0099,0,0.00042674,0.00042674,0.00042674
76,190751,0.98452,1.49778,0.70541,0.00837,0.34397,0.96341,0.86258,0.91554,0.71056,0.96341,0.86258,0.91475,0.70708,0.9938,1.58439,0.67327,0.00999,0,0.00042575,0.00042575,0.00042575
77,192905,1.00104,1.50728,0.68212,0.00848,0.3315,0.96148,0.85031,0.93624,0.7159,0.95839,0.84793,0.93163,0.70852,1.00523,1.58884,0.557,0.01007,0,0.00042476,0.00042476,0.00042476
78,195054,0.99954,1.49525,0.64365,0.0084,0.31136,0.9472,0.88043,0.9432,0.71046,0.94246,0.87362,0.93524,0.7095,1.02928,1.61861,0.53313,0.01021,0,0.00042377,0.00042377,0.00042377
79,197192,1.01225,1.50467,0.68785,0.00843,0.31816,0.94968,0.87994,0.94492,0.71618,0.95505,0.87362,0.94331,0.71425,1.02894,1.60981,0.56552,0.01038,0,0.00042278,0.00042278,0.00042278
80,199328,1.00974,1.523,0.67832,0.00839,0.32531,0.93555,0.83718,0.90754,0.67003,0.94872,0.83988,0.91119,0.67353,1.10377,1.70971,0.69175,0.01127,0,0.00042179,0.00042179,0.00042179
81,201462,0.96422,1.43548,0.65517,0.00806,0.33616,0.96819,0.85889,0.94601,0.71027,0.96386,0.85094,0.93898,0.70367,0.99969,1.60019,0.57546,0.00981,0,0.0004208,0.0004208,0.0004208
82,203648,0.95738,1.45323,0.64022,0.00771,0.30035,0.94158,0.86748,0.93573,0.71866,0.94224,0.86748,0.9347,0.70557,1.00173,1.64515,0.61804,0.00996,0,0.00041981,0.00041981,0.00041981
83,205804,0.96163,1.48016,0.63002,0.00787,0.28821,0.93219,0.88098,0.94218,0.71926,0.93219,0.88098,0.93771,0.71138,0.99198,1.55336,0.53751,0.00994,0,0.00041882,0.00041882,0.00041882
84,207940,0.96941,1.48227,0.66109,0.00808,0.3482,0.95922,0.85153,0.934,0.70232,0.94539,0.84962,0.92542,0.69899,1.01732,1.75,0.57105,0.01015,0,0.00041783,0.00041783,0.00041783
85,210095,0.95679,1.45782,0.6364,0.00785,0.31397,0.95362,0.87853,0.9465,0.72227,0.95494,0.88407,0.94852,0.70561,0.99268,1.61577,0.51471,0.00995,0,0.00041684,0.00041684,0.00041684
86,212256,0.98027,1.53435,0.7086,0.00808,0.34539,0.96162,0.89144,0.95396,0.73596,0.96065,0.88589,0.94554,0.7142,0.96811,1.61459,0.50463,0.00975,0,0.00041585,0.00041585,0.00041585
87,214410,0.96033,1.47575,0.65178,0.00797,0.32758,0.92894,0.85014,0.92216,0.70322,0.96714,0.81104,0.91143,0.69356,1.01305,1.62409,0.62351,0.01015,0,0.00041486,0.00041486,0.00041486
88,216560,0.93733,1.44249,0.64272,0.00776,0.29857,0.95232,0.83926,0.91955,0.69777,0.94542,0.82822,0.90953,0.68109,1.02806,1.64756,0.6791,0.01021,0,0.00041387,0.00041387,0.00041387
89,218693,0.9583,1.4585,0.63911,0.00785,0.32428,0.95491,0.88347,0.94472,0.72755,0.9516,0.8908,0.94725,0.71891,0.99837,1.61295,0.57293,0.01016,0,0.00041288,0.00041288,0.00041288
90,220841,0.95017,1.41173,0.60882,0.00771,0.29417,0.94149,0.85031,0.9158,0.71668,0.94149,0.85031,0.91594,0.70964,0.98298,1.56324,0.68031,0.00978,0,0.00041189,0.00041189,0.00041189
91,223004,0.95756,1.45159,0.63971,0.00779,0.31019,0.93798,0.87215,0.93716,0.72712,0.94059,0.87422,0.93655,0.71013,0.9679,1.66635,0.56908,0.00953,0,0.0004109,0.0004109,0.0004109
92,225144,0.95219,1.45512,0.63539,0.0078,0.28772,0.96003,0.85475,0.9304,0.71922,0.95866,0.85352,0.9327,0.71287,1.00463,1.6016,0.58181,0.01009,0,0.00040991,0.00040991,0.00040991
93,227293,0.97133,1.44522,0.65104,0.00801,0.30862,0.96447,0.86606,0.94368,0.71259,0.95733,0.8589,0.93764,0.70679,1.02404,1.63011,0.54648,0.01029,0,0.00040892,0.00040892,0.00040892
94,229441,0.94487,1.4402,0.64879,0.00794,0.34004,0.94414,0.85025,0.91975,0.69918,0.94414,0.85025,0.91594,0.68831,1.04035,1.738,0.63883,0.01044,0,0.00040793,0.00040793,0.00040793
95,231595,0.96196,1.46112,0.63551,0.00801,0.31028,0.92736,0.89286,0.94329,0.7272,0.95886,0.86503,0.93721,0.70802,0.95818,1.59975,0.53345,0.00948,0,0.00040694,0.00040694,0.00040694
96,233751,0.94398,1.4438,0.61955,0.00763,0.33662,0.94426,0.86012,0.92001,0.72219,0.94417,0.86012,0.9199,0.70963,0.95404,1.61031,0.66204,0.00958,0,0.00040595,0.00040595,0.00040595
97,235906,0.93303,1.39915,0.60498,0.00774,0.30112,0.94698,0.88712,0.94043,0.72008,0.94756,0.88684,0.9378,0.71474,0.99023,1.60234,0.54121,0.00971,0,0.00040496,0.00040496,0.00040496
98,238050,0.91933,1.39192,0.60722,0.00747,0.29425,0.95686,0.87092,0.93249,0.73077,0.95686,0.87092,0.93254,0.71799,0.94333,1.60156,0.59663,0.0093,0,0.00040397,0.00040397,0.00040397
99,240266,0.93245,1.41344,0.58813,0.0075,0.29018,0.96695,0.83926,0.91597,0.72287,0.96622,0.8422,0.91881,0.70943,0.94171,1.63195,0.69217,0.00933,0,0.00040298,0.00040298,0.00040298
100,243110,0.95225,1.41235,0.6404,0.00777,0.30239,0.93867,0.8773,0.93571,0.71943,0.96532,0.85372,0.93293,0.70625,0.99699,1.71347,0.53495,0.00984,0,0.00040199,0.00040199,0.00040199
101,245903,0.93761,1.42073,0.62107,0.00776,0.32469,0.96088,0.84391,0.91592,0.71399,0.94987,0.85521,0.91546,0.70756,0.99594,1.66094,0.69579,0.00984,0,0.000401,0.000401,0.000401
102,248209,0.9419,1.41612,0.62106,0.00784,0.3148,0.96834,0.86302,0.93137,0.73285,0.97111,0.86606,0.9343,0.72127,0.96255,1.59737,0.62095,0.00956,0,0.00040001,0.00040001,0.00040001
103,250618,0.90143,1.37247,0.58318,0.00721,0.29969,0.97176,0.85031,0.93051,0.72577,0.96888,0.84663,0.93262,0.71069,0.98177,1.64075,0.63373,0.0097,0,0.00039902,0.00039902,0.00039902
